date,fire_count,avg_frp
2018-05-20,14,1.425
2018-05-21,4,1.5675
2018-05-22,0,0.0
2018-05-23,1,4.16
2018-05-24,15,2.6146666666666665
2018-05-25,14,0.9600000000000001
2018-05-26,6,1.6766666666666667
2018-05-27,5,1.842
2018-05-28,2,0.58
2018-05-29,3,4.06
2018-05-30,4,0.7275
2018-05-31,3,2.1300000000000003
2018-06-01,4,3.3024999999999998
2018-06-02,10,3.65
2018-06-03,9,2.501111111111111
2018-06-04,0,0.0
2018-06-05,12,2.0608333333333335
2018-06-06,8,1.66625
2018-06-07,0,0.0
2018-06-08,0,0.0
2018-06-09,8,3.3125
2018-06-10,19,1.5989473684210527
2018-06-11,4,0.8575
2018-06-12,8,2.25875
2018-06-13,0,0.0
2018-06-14,5,3.0620000000000003
2018-06-15,3,1.3533333333333333
2018-06-16,14,3.039285714285714
2018-06-17,0,0.0
2018-06-18,1,5.43
2018-06-19,14,4.2
2018-06-20,4,2.795
2018-06-21,15,3.1673333333333336
2018-06-22,0,0.0
2018-06-23,6,0.8083333333333332
2018-06-24,10,0.9
2018-06-25,2,0.67
2018-06-26,2,3.7199999999999998
2018-06-27,7,1.7314285714285713
2018-06-28,6,1.7750000000000001
2018-06-29,4,4.15
2018-06-30,14,2.1435714285714282
2018-07-01,12,2.299166666666667
2018-07-02,3,4.236666666666667
2018-07-03,4,1.3925
2018-07-04,2,4.885
2018-07-05,4,6.1875
2018-07-06,14,2.487142857142857
2018-07-07,12,6.788333333333333
2018-07-08,8,2.43125
2018-07-09,7,3.011428571428571
2018-07-10,3,1.3466666666666667
2018-07-11,5,6.525999999999999
2018-07-12,1,1.56
2018-07-13,5,1.544
2018-07-14,8,2.44625
2018-07-15,9,2.0166666666666666
2018-07-16,2,0.45
2018-07-17,14,1.0764285714285715
2018-07-18,17,1.8882352941176472
2018-07-19,14,1.6464285714285716
2018-07-20,9,5.078888888888889
2018-07-21,0,0.0
2018-07-22,23,2.7530434782608695
2018-07-23,5,3.786
2018-07-24,9,2.1855555555555557
2018-07-25,3,3.7433333333333336
2018-07-26,13,3.9615384615384617
2018-07-27,19,2.684736842105263
2018-07-28,9,2.101111111111111
2018-07-29,12,5.956666666666667
2018-07-30,7,2.07
2018-07-31,12,2.255
2018-08-01,13,1.7238461538461538
